time,lats,lons,hurs
04/29/2008,-87.75,38.25,75.701485
04/29/2008,-87.75,38.75,75.287506
04/29/2008,-87.75,39.25,75.29492
04/29/2008,-87.75,39.75,75.03426
04/29/2008,-87.75,40.25,74.989456
04/29/2008,-87.75,40.75,74.75918
04/29/2008,-87.75,41.25,75.14248
04/29/2008,-87.75,41.75,75.72391
04/30/2008,-84.75,37.75,100.0
04/30/2008,-84.75,38.25,100.0
04/30/2008,-84.75,38.75,100.0
04/30/2008,-84.75,39.25,100.0
04/30/2008,-84.75,39.75,100.0
04/30/2008,-84.75,40.25,100.0
04/30/2008,-84.75,40.75,100.0
04/30/2008,-84.75,41.25,100.0
04/30/2008,-84.75,41.75,100.0
04/30/2008,-85.25,37.75,100.0
04/30/2008,-85.25,38.25,100.0
04/30/2008,-85.25,38.75,100.0
04/30/2008,-85.25,39.25,100.0
04/30/2008,-85.25,39.75,100.0
04/30/2008,-85.25,40.25,100.0
04/30/2008,-85.25,40.75,100.0
04/30/2008,-85.25,41.25,100.0
04/30/2008,-85.25,41.75,100.0
